video_stem,video_path,video_emotion,video_emotion_lbl,actor_id,sentence_key,sentence_text,audio_stem,audio_path,audio_emotion,audio_emotion_lbl,output_stem,label,method,status
1001_DFA_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_DFA_DIS_XX.flv,DIS,disgusted,1001,DFA,Don't forget a jacket,1001_DFA_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_DFA_FEA_XX.wav,FEA,fearful,FAKE_T1_1001_DFA_DIS_XX__AUDIO_1001_DFA_FEA_XX,1,emotion_swap,pending
1001_ITS_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITS_HAP_XX.flv,HAP,happy,1001,ITS,I think I've seen this before,1001_ITS_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITS_NEU_XX.wav,NEU,neutral,FAKE_T1_1001_ITS_HAP_XX__AUDIO_1001_ITS_NEU_XX,1,emotion_swap,pending
1001_TAI_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_TAI_HAP_XX.flv,HAP,happy,1001,TAI,The airplane is almost full,1001_TAI_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_TAI_NEU_XX.wav,NEU,neutral,FAKE_T1_1001_TAI_HAP_XX__AUDIO_1001_TAI_NEU_XX,1,emotion_swap,pending
1001_DFA_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_DFA_FEA_XX.flv,FEA,fearful,1001,DFA,Don't forget a jacket,1001_DFA_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_DFA_HAP_XX.wav,HAP,happy,FAKE_T1_1001_DFA_FEA_XX__AUDIO_1001_DFA_HAP_XX,1,emotion_swap,pending
1001_IWW_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_IWW_NEU_XX.flv,NEU,neutral,1001,IWW,I wonder what this is about,1001_IWW_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_IWW_SAD_XX.wav,SAD,sad,FAKE_T1_1001_IWW_NEU_XX__AUDIO_1001_IWW_SAD_XX,1,emotion_swap,pending
1001_WSI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_WSI_NEU_XX.flv,NEU,neutral,1001,WSI,We'll stop in a couple of minutes,1001_WSI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_WSI_SAD_XX.wav,SAD,sad,FAKE_T1_1001_WSI_NEU_XX__AUDIO_1001_WSI_SAD_XX,1,emotion_swap,pending
1001_WSI_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_WSI_FEA_XX.flv,FEA,fearful,1001,WSI,We'll stop in a couple of minutes,1001_WSI_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_WSI_HAP_XX.wav,HAP,happy,FAKE_T1_1001_WSI_FEA_XX__AUDIO_1001_WSI_HAP_XX,1,emotion_swap,pending
1001_ITH_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITH_FEA_XX.flv,FEA,fearful,1001,ITH,I think I have a doctor's appointment,1001_ITH_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITH_HAP_XX.wav,HAP,happy,FAKE_T1_1001_ITH_FEA_XX__AUDIO_1001_ITH_HAP_XX,1,emotion_swap,pending
1001_TIE_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_TIE_NEU_XX.flv,NEU,neutral,1001,TIE,That is exactly what happened,1001_TIE_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_TIE_SAD_XX.wav,SAD,sad,FAKE_T1_1001_TIE_NEU_XX__AUDIO_1001_TIE_SAD_XX,1,emotion_swap,pending
1001_IWL_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_IWL_FEA_XX.flv,FEA,fearful,1001,IWL,I would like a new alarm clock,1001_IWL_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_IWL_HAP_XX.wav,HAP,happy,FAKE_T1_1001_IWL_FEA_XX__AUDIO_1001_IWL_HAP_XX,1,emotion_swap,pending
1001_MTI_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_MTI_ANG_XX.flv,ANG,angry,1001,MTI,Maybe tomorrow it will be cold,1001_MTI_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_MTI_DIS_XX.wav,DIS,disgusted,FAKE_T1_1001_MTI_ANG_XX__AUDIO_1001_MTI_DIS_XX,1,emotion_swap,pending
1001_ITH_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1001_ITH_SAD_XX.flv,SAD,sad,1001,ITH,I think I have a doctor's appointment,1001_ITH_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1001_ITH_ANG_XX.wav,ANG,angry,FAKE_T1_1001_ITH_SAD_XX__AUDIO_1001_ITH_ANG_XX,1,emotion_swap,pending
1002_IWL_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWL_ANG_XX.flv,ANG,angry,1002,IWL,I would like a new alarm clock,1002_IWL_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWL_DIS_XX.wav,DIS,disgusted,FAKE_T1_1002_IWL_ANG_XX__AUDIO_1002_IWL_DIS_XX,1,emotion_swap,pending
1002_ITS_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_ITS_DIS_XX.flv,DIS,disgusted,1002,ITS,I think I've seen this before,1002_ITS_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_ITS_FEA_XX.wav,FEA,fearful,FAKE_T1_1002_ITS_DIS_XX__AUDIO_1002_ITS_FEA_XX,1,emotion_swap,pending
1002_DFA_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_DFA_FEA_XX.flv,FEA,fearful,1002,DFA,Don't forget a jacket,1002_DFA_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_DFA_HAP_XX.wav,HAP,happy,FAKE_T1_1002_DFA_FEA_XX__AUDIO_1002_DFA_HAP_XX,1,emotion_swap,pending
1002_ITH_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_ITH_FEA_XX.flv,FEA,fearful,1002,ITH,I think I have a doctor's appointment,1002_ITH_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_ITH_HAP_XX.wav,HAP,happy,FAKE_T1_1002_ITH_FEA_XX__AUDIO_1002_ITH_HAP_XX,1,emotion_swap,pending
1002_IEO_SAD_MD,..\..\data\raw\CREMA-D\VideoFlash\1002_IEO_SAD_MD.flv,SAD,sad,1002,IEO,It's eleven o'clock,1002_IEO_ANG_MD,..\..\data\raw\CREMA-D\AudioWAV\1002_IEO_ANG_MD.wav,ANG,angry,FAKE_T1_1002_IEO_SAD_MD__AUDIO_1002_IEO_ANG_MD,1,emotion_swap,pending
1002_IOM_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IOM_SAD_XX.flv,SAD,sad,1002,IOM,I'm on my way to the meeting,1002_IOM_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IOM_ANG_XX.wav,ANG,angry,FAKE_T1_1002_IOM_SAD_XX__AUDIO_1002_IOM_ANG_XX,1,emotion_swap,pending
1002_IWW_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWW_DIS_XX.flv,DIS,disgusted,1002,IWW,I wonder what this is about,1002_IWW_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWW_FEA_XX.wav,FEA,fearful,FAKE_T1_1002_IWW_DIS_XX__AUDIO_1002_IWW_FEA_XX,1,emotion_swap,pending
1002_TAI_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_TAI_ANG_XX.flv,ANG,angry,1002,TAI,The airplane is almost full,1002_TAI_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_TAI_DIS_XX.wav,DIS,disgusted,FAKE_T1_1002_TAI_ANG_XX__AUDIO_1002_TAI_DIS_XX,1,emotion_swap,pending
1002_MTI_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_MTI_SAD_XX.flv,SAD,sad,1002,MTI,Maybe tomorrow it will be cold,1002_MTI_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_MTI_ANG_XX.wav,ANG,angry,FAKE_T1_1002_MTI_SAD_XX__AUDIO_1002_MTI_ANG_XX,1,emotion_swap,pending
1002_IWW_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWW_NEU_XX.flv,NEU,neutral,1002,IWW,I wonder what this is about,1002_IWW_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWW_SAD_XX.wav,SAD,sad,FAKE_T1_1002_IWW_NEU_XX__AUDIO_1002_IWW_SAD_XX,1,emotion_swap,pending
1002_DFA_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_DFA_ANG_XX.flv,ANG,angry,1002,DFA,Don't forget a jacket,1002_DFA_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_DFA_DIS_XX.wav,DIS,disgusted,FAKE_T1_1002_DFA_ANG_XX__AUDIO_1002_DFA_DIS_XX,1,emotion_swap,pending
1002_IWW_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWW_SAD_XX.flv,SAD,sad,1002,IWW,I wonder what this is about,1002_IWW_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWW_ANG_XX.wav,ANG,angry,FAKE_T1_1002_IWW_SAD_XX__AUDIO_1002_IWW_ANG_XX,1,emotion_swap,pending
1002_IEO_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IEO_NEU_XX.flv,NEU,neutral,1002,IEO,It's eleven o'clock,1002_IEO_SAD_MD,..\..\data\raw\CREMA-D\AudioWAV\1002_IEO_SAD_MD.wav,SAD,sad,FAKE_T1_1002_IEO_NEU_XX__AUDIO_1002_IEO_SAD_MD,1,emotion_swap,pending
1002_ITS_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_ITS_HAP_XX.flv,HAP,happy,1002,ITS,I think I've seen this before,1002_ITS_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_ITS_NEU_XX.wav,NEU,neutral,FAKE_T1_1002_ITS_HAP_XX__AUDIO_1002_ITS_NEU_XX,1,emotion_swap,pending
1002_TIE_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_TIE_DIS_XX.flv,DIS,disgusted,1002,TIE,That is exactly what happened,1002_TIE_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_TIE_FEA_XX.wav,FEA,fearful,FAKE_T1_1002_TIE_DIS_XX__AUDIO_1002_TIE_FEA_XX,1,emotion_swap,pending
1002_TIE_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_TIE_HAP_XX.flv,HAP,happy,1002,TIE,That is exactly what happened,1002_TIE_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_TIE_ANG_XX.wav,ANG,angry,FAKE_T1_1002_TIE_HAP_XX__AUDIO_1002_TIE_ANG_XX,1,emotion_swap,pending
1002_IWL_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWL_DIS_XX.flv,DIS,disgusted,1002,IWL,I would like a new alarm clock,1002_IWL_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWL_FEA_XX.wav,FEA,fearful,FAKE_T1_1002_IWL_DIS_XX__AUDIO_1002_IWL_FEA_XX,1,emotion_swap,pending
1002_TIE_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_TIE_FEA_XX.flv,FEA,fearful,1002,TIE,That is exactly what happened,1002_TIE_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_TIE_HAP_XX.wav,HAP,happy,FAKE_T1_1002_TIE_FEA_XX__AUDIO_1002_TIE_HAP_XX,1,emotion_swap,pending
1002_IWL_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_IWL_NEU_XX.flv,NEU,neutral,1002,IWL,I would like a new alarm clock,1002_IWL_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_IWL_SAD_XX.wav,SAD,sad,FAKE_T1_1002_IWL_NEU_XX__AUDIO_1002_IWL_SAD_XX,1,emotion_swap,pending
1002_MTI_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_MTI_DIS_XX.flv,DIS,disgusted,1002,MTI,Maybe tomorrow it will be cold,1002_MTI_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_MTI_FEA_XX.wav,FEA,fearful,FAKE_T1_1002_MTI_DIS_XX__AUDIO_1002_MTI_FEA_XX,1,emotion_swap,pending
1002_TAI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1002_TAI_NEU_XX.flv,NEU,neutral,1002,TAI,The airplane is almost full,1002_TAI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1002_TAI_SAD_XX.wav,SAD,sad,FAKE_T1_1002_TAI_NEU_XX__AUDIO_1002_TAI_SAD_XX,1,emotion_swap,pending
1003_ITH_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_ITH_NEU_XX.flv,NEU,neutral,1003,ITH,I think I have a doctor's appointment,1003_ITH_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_ITH_SAD_XX.wav,SAD,sad,FAKE_T1_1003_ITH_NEU_XX__AUDIO_1003_ITH_SAD_XX,1,emotion_swap,pending
1003_TSI_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TSI_HAP_XX.flv,HAP,happy,1003,TSI,The surface is slippery,1003_TSI_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TSI_NEU_XX.wav,NEU,neutral,FAKE_T1_1003_TSI_HAP_XX__AUDIO_1003_TSI_NEU_XX,1,emotion_swap,pending
1003_WSI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_WSI_NEU_XX.flv,NEU,neutral,1003,WSI,We'll stop in a couple of minutes,1003_WSI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_WSI_SAD_XX.wav,SAD,sad,FAKE_T1_1003_WSI_NEU_XX__AUDIO_1003_WSI_SAD_XX,1,emotion_swap,pending
1003_TIE_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TIE_ANG_XX.flv,ANG,angry,1003,TIE,That is exactly what happened,1003_TIE_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TIE_DIS_XX.wav,DIS,disgusted,FAKE_T1_1003_TIE_ANG_XX__AUDIO_1003_TIE_DIS_XX,1,emotion_swap,pending
1003_TAI_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TAI_FEA_XX.flv,FEA,fearful,1003,TAI,The airplane is almost full,1003_TAI_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TAI_HAP_XX.wav,HAP,happy,FAKE_T1_1003_TAI_FEA_XX__AUDIO_1003_TAI_HAP_XX,1,emotion_swap,pending
1003_TSI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TSI_NEU_XX.flv,NEU,neutral,1003,TSI,The surface is slippery,1003_TSI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TSI_SAD_XX.wav,SAD,sad,FAKE_T1_1003_TSI_NEU_XX__AUDIO_1003_TSI_SAD_XX,1,emotion_swap,pending
1003_MTI_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_MTI_HAP_XX.flv,HAP,happy,1003,MTI,Maybe tomorrow it will be cold,1003_MTI_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_MTI_NEU_XX.wav,NEU,neutral,FAKE_T1_1003_MTI_HAP_XX__AUDIO_1003_MTI_NEU_XX,1,emotion_swap,pending
1003_MTI_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_MTI_FEA_XX.flv,FEA,fearful,1003,MTI,Maybe tomorrow it will be cold,1003_MTI_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_MTI_HAP_XX.wav,HAP,happy,FAKE_T1_1003_MTI_FEA_XX__AUDIO_1003_MTI_HAP_XX,1,emotion_swap,pending
1003_IOM_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_IOM_FEA_XX.flv,FEA,fearful,1003,IOM,I'm on my way to the meeting,1003_IOM_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_IOM_HAP_XX.wav,HAP,happy,FAKE_T1_1003_IOM_FEA_XX__AUDIO_1003_IOM_HAP_XX,1,emotion_swap,pending
1003_IWW_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_IWW_DIS_XX.flv,DIS,disgusted,1003,IWW,I wonder what this is about,1003_IWW_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_IWW_FEA_XX.wav,FEA,fearful,FAKE_T1_1003_IWW_DIS_XX__AUDIO_1003_IWW_FEA_XX,1,emotion_swap,pending
1003_ITH_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_ITH_FEA_XX.flv,FEA,fearful,1003,ITH,I think I have a doctor's appointment,1003_ITH_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_ITH_HAP_XX.wav,HAP,happy,FAKE_T1_1003_ITH_FEA_XX__AUDIO_1003_ITH_HAP_XX,1,emotion_swap,pending
1003_IWL_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_IWL_SAD_XX.flv,SAD,sad,1003,IWL,I would like a new alarm clock,1003_IWL_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_IWL_ANG_XX.wav,ANG,angry,FAKE_T1_1003_IWL_SAD_XX__AUDIO_1003_IWL_ANG_XX,1,emotion_swap,pending
1003_MTI_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_MTI_SAD_XX.flv,SAD,sad,1003,MTI,Maybe tomorrow it will be cold,1003_MTI_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_MTI_ANG_XX.wav,ANG,angry,FAKE_T1_1003_MTI_SAD_XX__AUDIO_1003_MTI_ANG_XX,1,emotion_swap,pending
1003_TAI_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TAI_SAD_XX.flv,SAD,sad,1003,TAI,The airplane is almost full,1003_TAI_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TAI_ANG_XX.wav,ANG,angry,FAKE_T1_1003_TAI_SAD_XX__AUDIO_1003_TAI_ANG_XX,1,emotion_swap,pending
1003_DFA_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_DFA_DIS_XX.flv,DIS,disgusted,1003,DFA,Don't forget a jacket,1003_DFA_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_DFA_FEA_XX.wav,FEA,fearful,FAKE_T1_1003_DFA_DIS_XX__AUDIO_1003_DFA_FEA_XX,1,emotion_swap,pending
1003_TSI_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_TSI_FEA_XX.flv,FEA,fearful,1003,TSI,The surface is slippery,1003_TSI_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_TSI_HAP_XX.wav,HAP,happy,FAKE_T1_1003_TSI_FEA_XX__AUDIO_1003_TSI_HAP_XX,1,emotion_swap,pending
1003_ITS_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_ITS_ANG_XX.flv,ANG,angry,1003,ITS,I think I've seen this before,1003_ITS_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_ITS_DIS_XX.wav,DIS,disgusted,FAKE_T1_1003_ITS_ANG_XX__AUDIO_1003_ITS_DIS_XX,1,emotion_swap,pending
1003_IWW_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_IWW_FEA_XX.flv,FEA,fearful,1003,IWW,I wonder what this is about,1003_IWW_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_IWW_HAP_XX.wav,HAP,happy,FAKE_T1_1003_IWW_FEA_XX__AUDIO_1003_IWW_HAP_XX,1,emotion_swap,pending
1003_WSI_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_WSI_ANG_XX.flv,ANG,angry,1003,WSI,We'll stop in a couple of minutes,1003_WSI_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_WSI_DIS_XX.wav,DIS,disgusted,FAKE_T1_1003_WSI_ANG_XX__AUDIO_1003_WSI_DIS_XX,1,emotion_swap,pending
1003_ITH_ANG_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_ITH_ANG_XX.flv,ANG,angry,1003,ITH,I think I have a doctor's appointment,1003_ITH_DIS_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_ITH_DIS_XX.wav,DIS,disgusted,FAKE_T1_1003_ITH_ANG_XX__AUDIO_1003_ITH_DIS_XX,1,emotion_swap,pending
1003_ITS_DIS_XX,..\..\data\raw\CREMA-D\VideoFlash\1003_ITS_DIS_XX.flv,DIS,disgusted,1003,ITS,I think I've seen this before,1003_ITS_FEA_XX,..\..\data\raw\CREMA-D\AudioWAV\1003_ITS_FEA_XX.wav,FEA,fearful,FAKE_T1_1003_ITS_DIS_XX__AUDIO_1003_ITS_FEA_XX,1,emotion_swap,pending
1003_IEO_SAD_MD,..\..\data\raw\CREMA-D\VideoFlash\1003_IEO_SAD_MD.flv,SAD,sad,1003,IEO,It's eleven o'clock,1003_IEO_ANG_MD,..\..\data\raw\CREMA-D\AudioWAV\1003_IEO_ANG_MD.wav,ANG,angry,FAKE_T1_1003_IEO_SAD_MD__AUDIO_1003_IEO_ANG_MD,1,emotion_swap,pending
1004_MTI_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1004_MTI_NEU_XX.flv,NEU,neutral,1004,MTI,Maybe tomorrow it will be cold,1004_MTI_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1004_MTI_SAD_XX.wav,SAD,sad,FAKE_T1_1004_MTI_NEU_XX__AUDIO_1004_MTI_SAD_XX,1,emotion_swap,pending
1004_TIE_FEA_XX,..\..\data\raw\CREMA-D\VideoFlash\1004_TIE_FEA_XX.flv,FEA,fearful,1004,TIE,That is exactly what happened,1004_TIE_HAP_XX,..\..\data\raw\CREMA-D\AudioWAV\1004_TIE_HAP_XX.wav,HAP,happy,FAKE_T1_1004_TIE_FEA_XX__AUDIO_1004_TIE_HAP_XX,1,emotion_swap,pending
1004_ITH_NEU_XX,..\..\data\raw\CREMA-D\VideoFlash\1004_ITH_NEU_XX.flv,NEU,neutral,1004,ITH,I think I have a doctor's appointment,1004_ITH_SAD_XX,..\..\data\raw\CREMA-D\AudioWAV\1004_ITH_SAD_XX.wav,SAD,sad,FAKE_T1_1004_ITH_NEU_XX__AUDIO_1004_ITH_SAD_XX,1,emotion_swap,pending
1004_TSI_SAD_XX,..\..\data\raw\CREMA-D\VideoFlash\1004_TSI_SAD_XX.flv,SAD,sad,1004,TSI,The surface is slippery,1004_TSI_ANG_XX,..\..\data\raw\CREMA-D\AudioWAV\1004_TSI_ANG_XX.wav,ANG,angry,FAKE_T1_1004_TSI_SAD_XX__AUDIO_1004_TSI_ANG_XX,1,emotion_swap,pending
1004_DFA_HAP_XX,..\..\data\raw\CREMA-D\VideoFlash\1004_DFA_HAP_XX.flv,HAP,happy,1004,DFA,Don't forget a jacket,1004_DFA_NEU_XX,..\..\data\raw\CREMA-D\AudioWAV\1004_DFA_NEU_XX.wav,NEU,neutral,FAKE_T1_1004_DFA_HAP_XX__AUDIO_1004_DFA_NEU_XX,1,emotion_swap,pending
