clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
SHa756SwGJQ_001,mosei_real,0,mosei_SHa756SwGJQ_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\SHa756SwGJQ_001.mp4,data\preprocessed\features\z_at\SHa756SwGJQ_001.pt,data\preprocessed\features\z_v\SHa756SwGJQ_001.pt
train_dia461_utt0,meld_real,0,meld_Phoebe,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia461_utt0.mp4,data\preprocessed\features\z_at\train_dia461_utt0.pt,data\preprocessed\features\z_v\train_dia461_utt0.pt
FAKE_T3_1021_WSI_SAD_XX__AUDIO_1021_WSI_ANG_XX_sadtalker,track3,1,crema_1021,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1021_WSI_SAD_XX__AUDIO_1021_WSI_ANG_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1021_WSI_SAD_XX__AUDIO_1021_WSI_ANG_XX_sadtalker.pt
xBsrNFxnnuY_003,mosei_real,0,mosei_xBsrNFxnnuY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\xBsrNFxnnuY_003.mp4,data\preprocessed\features\z_at\xBsrNFxnnuY_003.pt,data\preprocessed\features\z_v\xBsrNFxnnuY_003.pt
dev_dia66_utt4,meld_real,0,meld_Phoebe,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia66_utt4.mp4,data\preprocessed\features\z_at\dev_dia66_utt4.pt,data\preprocessed\features\z_v\dev_dia66_utt4.pt
train_dia630_utt13,meld_real,0,meld_Joey,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia630_utt13.mp4,data\preprocessed\features\z_at\train_dia630_utt13.pt,data\preprocessed\features\z_v\train_dia630_utt13.pt
FAKE_T3_1039_TIE_HAP_XX__AUDIO_1039_TIE_NEU_XX_sadtalker,track3,1,crema_1039,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1039_TIE_HAP_XX__AUDIO_1039_TIE_NEU_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1039_TIE_HAP_XX__AUDIO_1039_TIE_NEU_XX_sadtalker.pt
cRFiXLzcCOA_003,mosei_real,0,mosei_cRFiXLzcCOA_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\cRFiXLzcCOA_003.mp4,data\preprocessed\features\z_at\cRFiXLzcCOA_003.pt,data\preprocessed\features\z_v\cRFiXLzcCOA_003.pt
FAKE_T1_1036_IEO_FEA_MD__AUDIO_1036_IEO_HAP_MD_styletts,track1,1,crema_1036,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1036_IEO_FEA_MD__AUDIO_1036_IEO_HAP_MD_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1036_IEO_FEA_MD__AUDIO_1036_IEO_HAP_MD_styletts.pt
train_dia524_utt9,meld_real,0,meld_Phoebe,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia524_utt9.mp4,data\preprocessed\features\z_at\train_dia524_utt9.pt,data\preprocessed\features\z_v\train_dia524_utt9.pt
train_dia629_utt13,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia629_utt13.mp4,data\preprocessed\features\z_at\train_dia629_utt13.pt,data\preprocessed\features\z_v\train_dia629_utt13.pt
W-q9bPlMIVI_005,mosei_real,0,mosei_W-q9bPlMIVI_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\W-q9bPlMIVI_005.mp4,data\preprocessed\features\z_at\W-q9bPlMIVI_005.pt,data\preprocessed\features\z_v\W-q9bPlMIVI_005.pt
2_523,mustard,-1,mustard_CHANDLER,,,1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_523.mp4,data\preprocessed\features\z_at\2_523.pt,data\preprocessed\features\z_v\2_523.pt
FAKE_T1_1042_TAI_DIS_XX__AUDIO_1042_TAI_FEA_XX_styletts,track1,1,crema_1042,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1042_TAI_DIS_XX__AUDIO_1042_TAI_FEA_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1042_TAI_DIS_XX__AUDIO_1042_TAI_FEA_XX_styletts.pt
wLj_gnNON7A_017,mosei_real,0,mosei_wLj_gnNON7A_017,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\wLj_gnNON7A_017.mp4,data\preprocessed\features\z_at\wLj_gnNON7A_017.pt,data\preprocessed\features\z_v\wLj_gnNON7A_017.pt
FAKE_T3_1050_IWL_NEU_XX__AUDIO_1050_IWL_SAD_XX_sadtalker,track3,1,crema_1050,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1050_IWL_NEU_XX__AUDIO_1050_IWL_SAD_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1050_IWL_NEU_XX__AUDIO_1050_IWL_SAD_XX_sadtalker.pt
train_dia615_utt0,meld_real,0,meld_Chandler,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia615_utt0.mp4,data\preprocessed\features\z_at\train_dia615_utt0.pt,data\preprocessed\features\z_v\train_dia615_utt0.pt
2_343,mustard,-1,mustard_ROSS,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_343.mp4,data\preprocessed\features\z_at\2_343.pt,data\preprocessed\features\z_v\2_343.pt
kU6YY2z7z0I_003,mosei_real,0,mosei_kU6YY2z7z0I_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\kU6YY2z7z0I_003.mp4,data\preprocessed\features\z_at\kU6YY2z7z0I_003.pt,data\preprocessed\features\z_v\kU6YY2z7z0I_003.pt
train_dia806_utt10,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt10.mp4,data\preprocessed\features\z_at\train_dia806_utt10.pt,data\preprocessed\features\z_v\train_dia806_utt10.pt
FAKE_T1_1042_TIE_SAD_XX__AUDIO_1042_TIE_ANG_XX_styletts,track1,1,crema_1042,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1042_TIE_SAD_XX__AUDIO_1042_TIE_ANG_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1042_TIE_SAD_XX__AUDIO_1042_TIE_ANG_XX_styletts.pt
FAKE_T3_1078_DFA_HAP_XX__AUDIO_1078_DFA_NEU_XX_sadtalker,track3,1,crema_1078,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1078_DFA_HAP_XX__AUDIO_1078_DFA_NEU_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1078_DFA_HAP_XX__AUDIO_1078_DFA_NEU_XX_sadtalker.pt
92tWNUhG9DY_001,mosei_real,0,mosei_92tWNUhG9DY_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\92tWNUhG9DY_001.mp4,data\preprocessed\features\z_at\92tWNUhG9DY_001.pt,data\preprocessed\features\z_v\92tWNUhG9DY_001.pt
FAKE_T3_1039_IWL_DIS_XX__AUDIO_1039_IWL_FEA_XX_sadtalker,track3,1,crema_1039,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1039_IWL_DIS_XX__AUDIO_1039_IWL_FEA_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1039_IWL_DIS_XX__AUDIO_1039_IWL_FEA_XX_sadtalker.pt
FAKE_T3_1042_IEO_ANG_MD__AUDIO_1042_IEO_DIS_MD_sadtalker,track3,1,crema_1042,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1042_IEO_ANG_MD__AUDIO_1042_IEO_DIS_MD_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1042_IEO_ANG_MD__AUDIO_1042_IEO_DIS_MD_sadtalker.pt
train_dia569_utt2,meld_real,0,meld_Elizabeth,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia569_utt2.mp4,data\preprocessed\features\z_at\train_dia569_utt2.pt,data\preprocessed\features\z_v\train_dia569_utt2.pt
FAKE_T3_1034_TSI_HAP_XX__AUDIO_1034_TSI_NEU_XX_sadtalker,track3,1,crema_1034,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1034_TSI_HAP_XX__AUDIO_1034_TSI_NEU_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1034_TSI_HAP_XX__AUDIO_1034_TSI_NEU_XX_sadtalker.pt
1A7dqFxx8wU_006,mosei_real,0,mosei_1A7dqFxx8wU_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\1A7dqFxx8wU_006.mp4,data\preprocessed\features\z_at\1A7dqFxx8wU_006.pt,data\preprocessed\features\z_v\1A7dqFxx8wU_006.pt
train_dia29_utt11,meld_real,0,meld_Monica,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia29_utt11.mp4,data\preprocessed\features\z_at\train_dia29_utt11.pt,data\preprocessed\features\z_v\train_dia29_utt11.pt
gjGL6YY6oMs_001,mosei_real,0,mosei_gjGL6YY6oMs_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\gjGL6YY6oMs_001.mp4,data\preprocessed\features\z_at\gjGL6YY6oMs_001.pt,data\preprocessed\features\z_v\gjGL6YY6oMs_001.pt
N188QSyfmeQ_002,mosei_real,0,mosei_N188QSyfmeQ_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\N188QSyfmeQ_002.mp4,data\preprocessed\features\z_at\N188QSyfmeQ_002.pt,data\preprocessed\features\z_v\N188QSyfmeQ_002.pt
caLWajc18Y4_008,mosei_real,0,mosei_caLWajc18Y4_008,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\caLWajc18Y4_008.mp4,data\preprocessed\features\z_at\caLWajc18Y4_008.pt,data\preprocessed\features\z_v\caLWajc18Y4_008.pt
FAKE_T1_1083_IWW_HAP_XX__AUDIO_1083_IWW_NEU_XX_styletts,track1,1,crema_1083,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1083_IWW_HAP_XX__AUDIO_1083_IWW_NEU_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1083_IWW_HAP_XX__AUDIO_1083_IWW_NEU_XX_styletts.pt
1_6370,mustard,-1,mustard_SHELDON,,,1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\1_6370.mp4,data\preprocessed\features\z_at\1_6370.pt,data\preprocessed\features\z_v\1_6370.pt
ExDLNkDVsxY_003,mosei_real,0,mosei_ExDLNkDVsxY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\ExDLNkDVsxY_003.mp4,data\preprocessed\features\z_at\ExDLNkDVsxY_003.pt,data\preprocessed\features\z_v\ExDLNkDVsxY_003.pt
FAKE_T2_1022_WSI_DIS_XX__AUDIO_1022_WSI_FEA_XX_wav2lip,track2,1,crema_1022,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1022_WSI_DIS_XX__AUDIO_1022_WSI_FEA_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1022_WSI_DIS_XX__AUDIO_1022_WSI_FEA_XX_wav2lip.pt
train_dia412_utt7,meld_real,0,meld_Phoebe,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia412_utt7.mp4,data\preprocessed\features\z_at\train_dia412_utt7.pt,data\preprocessed\features\z_v\train_dia412_utt7.pt
FAKE_T3_1086_IWL_ANG_XX__AUDIO_1086_IWL_DIS_XX_sadtalker,track3,1,crema_1086,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1086_IWL_ANG_XX__AUDIO_1086_IWL_DIS_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1086_IWL_ANG_XX__AUDIO_1086_IWL_DIS_XX_sadtalker.pt
train_dia119_utt10,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia119_utt10.mp4,data\preprocessed\features\z_at\train_dia119_utt10.pt,data\preprocessed\features\z_v\train_dia119_utt10.pt
sjoArVtU8-o_003,mosei_real,0,mosei_sjoArVtU8-o_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\sjoArVtU8-o_003.mp4,data\preprocessed\features\z_at\sjoArVtU8-o_003.pt,data\preprocessed\features\z_v\sjoArVtU8-o_003.pt
FAKE_T3_1045_ITS_NEU_XX__AUDIO_1045_ITS_SAD_XX_sadtalker,track3,1,crema_1045,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1045_ITS_NEU_XX__AUDIO_1045_ITS_SAD_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1045_ITS_NEU_XX__AUDIO_1045_ITS_SAD_XX_sadtalker.pt
1A-aRhYx-GQ_009,mosei_real,0,mosei_1A-aRhYx-GQ_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\1A-aRhYx-GQ_009.mp4,data\preprocessed\features\z_at\1A-aRhYx-GQ_009.pt,data\preprocessed\features\z_v\1A-aRhYx-GQ_009.pt
mW8eL4e7Wrg_005,mosei_real,0,mosei_mW8eL4e7Wrg_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\mW8eL4e7Wrg_005.mp4,data\preprocessed\features\z_at\mW8eL4e7Wrg_005.pt,data\preprocessed\features\z_v\mW8eL4e7Wrg_005.pt
FAKE_T3_1064_TIE_FEA_XX__AUDIO_1064_TIE_HAP_XX_sadtalker,track3,1,crema_1064,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1064_TIE_FEA_XX__AUDIO_1064_TIE_HAP_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1064_TIE_FEA_XX__AUDIO_1064_TIE_HAP_XX_sadtalker.pt
3IUVpwx23cY_003,mosei_real,0,mosei_3IUVpwx23cY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\3IUVpwx23cY_003.mp4,data\preprocessed\features\z_at\3IUVpwx23cY_003.pt,data\preprocessed\features\z_v\3IUVpwx23cY_003.pt
train_dia733_utt1,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia733_utt1.mp4,data\preprocessed\features\z_at\train_dia733_utt1.pt,data\preprocessed\features\z_v\train_dia733_utt1.pt
SHa756SwGJQ_003,mosei_real,0,mosei_SHa756SwGJQ_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\SHa756SwGJQ_003.mp4,data\preprocessed\features\z_at\SHa756SwGJQ_003.pt,data\preprocessed\features\z_v\SHa756SwGJQ_003.pt
FAKE_T2_1024_IEO_DIS_MD__AUDIO_1024_IEO_FEA_MD_wav2lip,track2,1,crema_1024,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1024_IEO_DIS_MD__AUDIO_1024_IEO_FEA_MD_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1024_IEO_DIS_MD__AUDIO_1024_IEO_FEA_MD_wav2lip.pt
N3QuD26DuCI_002,mosei_real,0,mosei_N3QuD26DuCI_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\N3QuD26DuCI_002.mp4,data\preprocessed\features\z_at\N3QuD26DuCI_002.pt,data\preprocessed\features\z_v\N3QuD26DuCI_002.pt
icIS9VfbzMw_006,mosei_real,0,mosei_icIS9VfbzMw_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\icIS9VfbzMw_006.mp4,data\preprocessed\features\z_at\icIS9VfbzMw_006.pt,data\preprocessed\features\z_v\icIS9VfbzMw_006.pt
FAKE_T3_1077_IEO_DIS_LO__AUDIO_1077_IEO_FEA_LO_sadtalker,track3,1,crema_1077,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1077_IEO_DIS_LO__AUDIO_1077_IEO_FEA_LO_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1077_IEO_DIS_LO__AUDIO_1077_IEO_FEA_LO_sadtalker.pt
test_dia206_utt3,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia206_utt3.mp4,data\preprocessed\features\z_at\test_dia206_utt3.pt,data\preprocessed\features\z_v\test_dia206_utt3.pt
FAKE_T3_1082_IEO_SAD_LO__AUDIO_1082_IEO_ANG_LO_sadtalker,track3,1,crema_1082,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1082_IEO_SAD_LO__AUDIO_1082_IEO_ANG_LO_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1082_IEO_SAD_LO__AUDIO_1082_IEO_ANG_LO_sadtalker.pt
test_dia180_utt0,meld_real,0,meld_Chandler,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia180_utt0.mp4,data\preprocessed\features\z_at\test_dia180_utt0.pt,data\preprocessed\features\z_v\test_dia180_utt0.pt
FAKE_T3_1090_MTI_FEA_XX__AUDIO_1090_MTI_HAP_XX_sadtalker,track3,1,crema_1090,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1090_MTI_FEA_XX__AUDIO_1090_MTI_HAP_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1090_MTI_FEA_XX__AUDIO_1090_MTI_HAP_XX_sadtalker.pt
yDIFWzOBjXc_021,mosei_real,0,mosei_yDIFWzOBjXc_021,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\yDIFWzOBjXc_021.mp4,data\preprocessed\features\z_at\yDIFWzOBjXc_021.pt,data\preprocessed\features\z_v\yDIFWzOBjXc_021.pt
FAKE_T3_1051_TAI_NEU_XX__AUDIO_1051_TAI_SAD_XX_sadtalker,track3,1,crema_1051,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1051_TAI_NEU_XX__AUDIO_1051_TAI_SAD_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1051_TAI_NEU_XX__AUDIO_1051_TAI_SAD_XX_sadtalker.pt
QMEgjkpyVzQ_000,mosei_real,0,mosei_QMEgjkpyVzQ_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QMEgjkpyVzQ_000.mp4,data\preprocessed\features\z_at\QMEgjkpyVzQ_000.pt,data\preprocessed\features\z_v\QMEgjkpyVzQ_000.pt
FAKE_T3_1076_IOM_NEU_XX__AUDIO_1076_IOM_SAD_XX_sadtalker,track3,1,crema_1076,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T3_1076_IOM_NEU_XX__AUDIO_1076_IOM_SAD_XX_sadtalker.pt,data\preprocessed\features\z_v\FAKE_T3_1076_IOM_NEU_XX__AUDIO_1076_IOM_SAD_XX_sadtalker.pt
zjYEBwXGD8I_015,mosei_real,0,mosei_zjYEBwXGD8I_015,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\zjYEBwXGD8I_015.mp4,data\preprocessed\features\z_at\zjYEBwXGD8I_015.pt,data\preprocessed\features\z_v\zjYEBwXGD8I_015.pt
5fKPJPFqPho_003,mosei_real,0,mosei_5fKPJPFqPho_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\5fKPJPFqPho_003.mp4,data\preprocessed\features\z_at\5fKPJPFqPho_003.pt,data\preprocessed\features\z_v\5fKPJPFqPho_003.pt
train_dia316_utt6,meld_real,0,meld_Voice,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia316_utt6.mp4,data\preprocessed\features\z_at\train_dia316_utt6.pt,data\preprocessed\features\z_v\train_dia316_utt6.pt
train_dia853_utt14,meld_real,0,meld_Phoebe,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia853_utt14.mp4,data\preprocessed\features\z_at\train_dia853_utt14.pt,data\preprocessed\features\z_v\train_dia853_utt14.pt
gcFECfN4BCU_006,mosei_real,0,mosei_gcFECfN4BCU_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\gcFECfN4BCU_006.mp4,data\preprocessed\features\z_at\gcFECfN4BCU_006.pt,data\preprocessed\features\z_v\gcFECfN4BCU_006.pt
C5-cY1nPQ20_001,mosei_real,0,mosei_C5-cY1nPQ20_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\C5-cY1nPQ20_001.mp4,data\preprocessed\features\z_at\C5-cY1nPQ20_001.pt,data\preprocessed\features\z_v\C5-cY1nPQ20_001.pt
kddCewAsxfA_002,mosei_real,0,mosei_kddCewAsxfA_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\kddCewAsxfA_002.mp4,data\preprocessed\features\z_at\kddCewAsxfA_002.pt,data\preprocessed\features\z_v\kddCewAsxfA_002.pt
dev_dia65_utt7,meld_real,0,meld_Joanna,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia65_utt7.mp4,data\preprocessed\features\z_at\dev_dia65_utt7.pt,data\preprocessed\features\z_v\dev_dia65_utt7.pt
FAKE_T2_1078_ITH_HAP_XX__AUDIO_1078_ITH_NEU_XX_wav2lip,track2,1,crema_1078,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1078_ITH_HAP_XX__AUDIO_1078_ITH_NEU_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1078_ITH_HAP_XX__AUDIO_1078_ITH_NEU_XX_wav2lip.pt
15ktF-6wutk_003,mosei_real,0,mosei_15ktF-6wutk_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\15ktF-6wutk_003.mp4,data\preprocessed\features\z_at\15ktF-6wutk_003.pt,data\preprocessed\features\z_v\15ktF-6wutk_003.pt
