path,label,source,speaker_id,sarcasm_label,audio_emotion_label,visual_emotion_label
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1027_IEO_DIS_HI__AUDIO_1027_IEO_FEA_HI_wav2lip.mp4,1,track2,crema_1027,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1039_TIE_SAD_XX__AUDIO_1039_TIE_ANG_XX_wav2lip.mp4,1,track2,crema_1039,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia30_utt2.mp4,0,meld_real,meld_rachel,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1017_DFA_SAD_XX__AUDIO_1017_DFA_ANG_XX_wav2lip.mp4,1,track2,crema_1017,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1077_IWW_DIS_XX__AUDIO_1077_IWW_FEA_XX_styletts.mp4,1,track1,crema_1077,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1066_IWL_FEA_XX__AUDIO_1066_IWL_HAP_XX_styletts.mp4,1,track1,crema_1066,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia875_utt2.mp4,0,meld_real,meld_hotel_clerk,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia45_utt7.mp4,0,meld_real,meld_rachel,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia537_utt1.mp4,0,meld_real,meld_joey,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia132_utt0.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1032_IOM_ANG_XX__AUDIO_1032_IOM_DIS_XX_wav2lip.mp4,1,track2,crema_1032,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia554_utt9.mp4,0,meld_real,meld_monica,-1,disgust,disgust
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1081_IWL_HAP_XX__AUDIO_1081_IWL_NEU_XX_styletts.mp4,1,track1,crema_1081,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia494_utt0.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1026_IEO_HAP_MD__AUDIO_1026_IEO_NEU_XX_sadtalker.mp4,1,track3,crema_1026,-1,neutral,happy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\BRdw-_dbJXc_007.mp4,0,cmumosei_real,mosei_BRdw-_dbJXc,-1,sad,sad
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1081_TSI_DIS_XX__AUDIO_1081_TSI_FEA_XX_sadtalker.mp4,1,track3,crema_1081,-1,fear,disgust
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia859_utt0.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia14_utt9.mp4,0,meld_real,meld_phoebe,-1,joy,joy
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia42_utt4.mp4,0,meld_real,meld_ross,-1,anger,anger
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\4wLP4elp1uM_001.mp4,0,cmumosei_real,mosei_4wLP4elp1uM,-1,sad,sad
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1027_ITS_ANG_XX__AUDIO_1027_ITS_DIS_XX_sadtalker.mp4,1,track3,crema_1027,-1,disgust,angry
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1031_MTI_SAD_XX__AUDIO_1031_MTI_ANG_XX_wav2lip.mp4,1,track2,crema_1031,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1003_IWW_ANG_XX__AUDIO_1003_IWW_DIS_XX_wav2lip.mp4,1,track2,crema_1003,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7ZzbemE4QEE_034.mp4,0,cmumosei_real,mosei_7ZzbemE4QEE,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1006_IEO_ANG_HI__AUDIO_1006_IEO_DIS_HI_sadtalker.mp4,1,track3,crema_1006,-1,disgust,angry
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\8qCNtqjygW8_009.mp4,0,cmumosei_real,mosei_8qCNtqjygW8,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia858_utt3.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1024_DFA_FEA_XX__AUDIO_1024_DFA_HAP_XX_styletts.mp4,1,track1,crema_1024,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia464_utt18.mp4,0,meld_real,meld_rachel,-1,sadness,sadness
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1088_IWL_FEA_XX__AUDIO_1088_IWL_HAP_XX_wav2lip.mp4,1,track2,crema_1088,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1050_DFA_FEA_XX__AUDIO_1050_DFA_HAP_XX_styletts.mp4,1,track1,crema_1050,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1024_TIE_DIS_XX__AUDIO_1024_TIE_FEA_XX_sadtalker.mp4,1,track3,crema_1024,-1,fear,disgust
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia745_utt2.mp4,0,meld_real,meld_monica,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1030_WSI_FEA_XX__AUDIO_1030_WSI_HAP_XX_styletts.mp4,1,track1,crema_1030,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1069_IWL_SAD_XX__AUDIO_1069_IWL_ANG_XX_styletts.mp4,1,track1,crema_1069,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1013_DFA_SAD_XX__AUDIO_1013_DFA_ANG_XX_styletts.mp4,1,track1,crema_1013,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia471_utt2.mp4,0,meld_real,meld_julie,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia926_utt8.mp4,0,meld_real,meld_monica,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1080_IEO_DIS_MD__AUDIO_1080_IEO_FEA_MD_wav2lip.mp4,1,track2,crema_1080,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1073_DFA_HAP_XX__AUDIO_1073_DFA_NEU_XX_styletts.mp4,1,track1,crema_1073,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1067_IWL_SAD_XX__AUDIO_1067_IWL_ANG_XX_sadtalker.mp4,1,track3,crema_1067,-1,angry,sad
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia532_utt9.mp4,0,meld_real,meld_joey,-1,sadness,sadness
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1067_IEO_HAP_MD__AUDIO_1067_IEO_NEU_XX_wav2lip.mp4,1,track2,crema_1067,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7ZzbemE4QEE_019.mp4,0,cmumosei_real,mosei_7ZzbemE4QEE,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1007_TSI_ANG_XX__AUDIO_1007_TSI_DIS_XX_sadtalker.mp4,1,track3,crema_1007,-1,disgust,angry
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1018_TSI_HAP_XX__AUDIO_1018_TSI_NEU_XX_styletts.mp4,1,track1,crema_1018,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia124_utt4.mp4,0,meld_real,meld_janice,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia451_utt4.mp4,0,meld_real,meld_monica,-1,anger,anger
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\8qCNtqjygW8_004.mp4,0,cmumosei_real,mosei_8qCNtqjygW8,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\-LnuDPiuuZw_000.mp4,0,cmumosei_real,mosei_-LnuDPiuuZw,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia477_utt4.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1019_DFA_SAD_XX__AUDIO_1019_DFA_ANG_XX_wav2lip.mp4,1,track2,crema_1019,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia440_utt5.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia64_utt8.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7CLe7PZtna4_000.mp4,0,cmumosei_real,mosei_7CLe7PZtna4,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1020_TAI_DIS_XX__AUDIO_1020_TAI_FEA_XX_styletts.mp4,1,track1,crema_1020,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\4HAC00EAdno_005.mp4,0,cmumosei_real,mosei_4HAC00EAdno,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia523_utt14.mp4,0,meld_real,meld_phoebe,-1,sadness,sadness
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia768_utt5.mp4,0,meld_real,meld_monica,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\9JqwFRCTKOM_000.mp4,0,cmumosei_real,mosei_9JqwFRCTKOM,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia635_utt6.mp4,0,meld_real,meld_airline_employee,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1027_TSI_DIS_XX__AUDIO_1027_TSI_FEA_XX_sadtalker.mp4,1,track3,crema_1027,-1,fear,disgust
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1038_TAI_FEA_XX__AUDIO_1038_TAI_HAP_XX_styletts.mp4,1,track1,crema_1038,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\0EphpADwdPg_000.mp4,0,cmumosei_real,mosei_0EphpADwdPg,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1013_ITS_SAD_XX__AUDIO_1013_ITS_ANG_XX_styletts.mp4,1,track1,crema_1013,-1,,
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7ZzbemE4QEE_025.mp4,0,cmumosei_real,mosei_7ZzbemE4QEE,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia657_utt12.mp4,0,meld_real,meld_megan,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1087_IWW_NEU_XX__AUDIO_1087_IWW_SAD_XX_styletts.mp4,1,track1,crema_1087,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1031_ITS_FEA_XX__AUDIO_1031_ITS_HAP_XX_wav2lip.mp4,1,track2,crema_1031,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia585_utt10.mp4,0,meld_real,meld_ross,-1,sadness,sadness
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1077_TSI_HAP_XX__AUDIO_1077_TSI_NEU_XX_wav2lip.mp4,1,track2,crema_1077,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia385_utt4.mp4,0,meld_real,meld_ross,-1,neutral,neutral
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia6_utt2.mp4,0,meld_real,meld_phoebe,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1014_MTI_DIS_XX__AUDIO_1014_MTI_FEA_XX_wav2lip.mp4,1,track2,crema_1014,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1061_IWW_NEU_XX__AUDIO_1061_IWW_SAD_XX_sadtalker.mp4,1,track3,crema_1061,-1,sad,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1091_TIE_NEU_XX__AUDIO_1091_TIE_SAD_XX_sadtalker.mp4,1,track3,crema_1091,-1,sad,neutral
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Cj7R36s4dbM_001.mp4,0,cmumosei_real,mosei_Cj7R36s4dbM,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1010_ITS_NEU_XX__AUDIO_1010_ITS_SAD_XX_wav2lip.mp4,1,track2,crema_1010,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia462_utt9.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\7ZzbemE4QEE_036.mp4,0,cmumosei_real,mosei_7ZzbemE4QEE,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1011_IWL_NEU_XX__AUDIO_1011_IWL_SAD_XX_sadtalker.mp4,1,track3,crema_1011,-1,sad,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1017_IEO_NEU_XX__AUDIO_1017_IEO_SAD_HI_styletts.mp4,1,track1,crema_1017,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1010_IWL_ANG_XX__AUDIO_1010_IWL_DIS_XX_styletts.mp4,1,track1,crema_1010,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1052_IOM_FEA_XX__AUDIO_1052_IOM_HAP_XX_wav2lip.mp4,1,track2,crema_1052,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1075_IEO_HAP_LO__AUDIO_1075_IEO_NEU_XX_styletts.mp4,1,track1,crema_1075,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1012_IOM_HAP_XX__AUDIO_1012_IOM_NEU_XX_wav2lip.mp4,1,track2,crema_1012,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1010_TIE_HAP_XX__AUDIO_1010_TIE_NEU_XX_wav2lip.mp4,1,track2,crema_1010,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1068_WSI_DIS_XX__AUDIO_1068_WSI_FEA_XX_styletts.mp4,1,track1,crema_1068,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1042_IOM_HAP_XX__AUDIO_1042_IOM_NEU_XX_sadtalker.mp4,1,track3,crema_1042,-1,neutral,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1059_IOM_SAD_XX__AUDIO_1059_IOM_ANG_XX_wav2lip.mp4,1,track2,crema_1059,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1038_IEO_ANG_HI__AUDIO_1038_IEO_DIS_HI_wav2lip.mp4,1,track2,crema_1038,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1079_ITS_ANG_XX__AUDIO_1079_ITS_DIS_XX_wav2lip.mp4,1,track2,crema_1079,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia319_utt14.mp4,0,meld_real,meld_pete,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\4HAC00EAdno_008.mp4,0,cmumosei_real,mosei_4HAC00EAdno,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1075_TIE_FEA_XX__AUDIO_1075_TIE_HAP_XX_wav2lip.mp4,1,track2,crema_1075,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1064_IOM_SAD_XX__AUDIO_1064_IOM_ANG_XX_styletts.mp4,1,track1,crema_1064,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1040_IWW_ANG_XX__AUDIO_1040_IWW_DIS_XX_wav2lip.mp4,1,track2,crema_1040,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1016_DFA_FEA_XX__AUDIO_1016_DFA_HAP_XX_sadtalker.mp4,1,track3,crema_1016,-1,happy,fear
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia229_utt3.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1029_DFA_HAP_XX__AUDIO_1029_DFA_NEU_XX_styletts.mp4,1,track1,crema_1029,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia696_utt1.mp4,0,meld_real,meld_rachel,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1045_ITH_FEA_XX__AUDIO_1045_ITH_HAP_XX_styletts.mp4,1,track1,crema_1045,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia31_utt8.mp4,0,meld_real,meld_ross,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1007_DFA_SAD_XX__AUDIO_1007_DFA_ANG_XX_styletts.mp4,1,track1,crema_1007,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia588_utt0.mp4,0,meld_real,meld_chandler,-1,anger,anger
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1078_TIE_DIS_XX__AUDIO_1078_TIE_FEA_XX_wav2lip.mp4,1,track2,crema_1078,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia31_utt0.mp4,0,meld_real,meld_kori,-1,sadness,sadness
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1033_IWL_FEA_XX__AUDIO_1033_IWL_HAP_XX_styletts.mp4,1,track1,crema_1033,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1071_IEO_SAD_MD__AUDIO_1071_IEO_ANG_MD_sadtalker.mp4,1,track3,crema_1071,-1,angry,sad
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\8qCNtqjygW8_005.mp4,0,cmumosei_real,mosei_8qCNtqjygW8,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\test\output_repeated_splits_test\dia20_utt5.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1034_IWL_FEA_XX__AUDIO_1034_IWL_HAP_XX_sadtalker.mp4,1,track3,crema_1034,-1,happy,fear
data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia20_utt7.mp4,0,meld_real,meld_joey,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\0EphpADwdPg_002.mp4,0,cmumosei_real,mosei_0EphpADwdPg,-1,happy,happy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1034_TAI_HAP_XX__AUDIO_1034_TAI_NEU_XX_wav2lip.mp4,1,track2,crema_1034,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1034_MTI_NEU_XX__AUDIO_1034_MTI_SAD_XX_styletts.mp4,1,track1,crema_1034,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia66_utt10.mp4,0,meld_real,meld_phoebe,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\2LpVvLemgvw_004.mp4,0,cmumosei_real,mosei_2LpVvLemgvw,-1,happy,happy
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia829_utt1.mp4,0,meld_real,meld_receptionist,-1,joy,joy
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1046_TAI_DIS_XX__AUDIO_1046_TAI_FEA_XX_wav2lip.mp4,1,track2,crema_1046,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track3_fakes\videos\FAKE_T3_1042_IOM_SAD_XX__AUDIO_1042_IOM_ANG_XX_sadtalker.mp4,1,track3,crema_1042,-1,angry,sad
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia287_utt11.mp4,0,meld_real,meld_ross,-1,neutral,neutral
D:\Documents\Programming\Thesis_G10\data\synthetic\track1_fakes\videos\FAKE_T1_1091_DFA_ANG_XX__AUDIO_1091_DFA_DIS_XX_styletts.mp4,1,track1,crema_1091,-1,,
D:\Documents\Programming\Thesis_G10\data\synthetic\track2_fakes\videos\FAKE_T2_1012_TIE_NEU_XX__AUDIO_1012_TIE_SAD_XX_wav2lip.mp4,1,track2,crema_1012,-1,,
data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia512_utt8.mp4,0,meld_real,meld_rachel,-1,anger,anger
