output_stem,output_path,label,status,method,actor_id,sentence_key,video_emotion,audio_emotion,processed
FAKE_T3_1001_IEO_HAP_LO__AUDIO_1001_IEO_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_HAP_LO__AUDIO_1001_IEO_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,IEO,happy,neutral,yes
FAKE_T3_1001_IEO_SAD_HI__AUDIO_1001_IEO_ANG_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IEO_SAD_HI__AUDIO_1001_IEO_ANG_HI_sadtalker.mp4,1,done,sadtalker,1001,IEO,sad,angry,yes
FAKE_T3_1001_IOM_ANG_XX__AUDIO_1001_IOM_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IOM_ANG_XX__AUDIO_1001_IOM_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,IOM,angry,disgust,yes
FAKE_T3_1001_IOM_DIS_XX__AUDIO_1001_IOM_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IOM_DIS_XX__AUDIO_1001_IOM_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,IOM,disgust,fear,yes
FAKE_T3_1001_ITH_FEA_XX__AUDIO_1001_ITH_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITH_FEA_XX__AUDIO_1001_ITH_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,ITH,fear,happy,yes
FAKE_T3_1001_ITH_HAP_XX__AUDIO_1001_ITH_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITH_HAP_XX__AUDIO_1001_ITH_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,ITH,happy,neutral,yes
FAKE_T3_1001_ITS_ANG_XX__AUDIO_1001_ITS_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITS_ANG_XX__AUDIO_1001_ITS_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,ITS,angry,disgust,yes
FAKE_T3_1001_ITS_DIS_XX__AUDIO_1001_ITS_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITS_DIS_XX__AUDIO_1001_ITS_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,ITS,disgust,fear,yes
FAKE_T3_1001_ITS_FEA_XX__AUDIO_1001_ITS_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITS_FEA_XX__AUDIO_1001_ITS_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,ITS,fear,happy,yes
FAKE_T3_1001_ITS_NEU_XX__AUDIO_1001_ITS_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_ITS_NEU_XX__AUDIO_1001_ITS_SAD_XX_sadtalker.mp4,1,done,sadtalker,1001,ITS,neutral,sad,yes
FAKE_T3_1001_IWL_DIS_XX__AUDIO_1001_IWL_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWL_DIS_XX__AUDIO_1001_IWL_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,IWL,disgust,fear,yes
FAKE_T3_1001_IWL_NEU_XX__AUDIO_1001_IWL_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWL_NEU_XX__AUDIO_1001_IWL_SAD_XX_sadtalker.mp4,1,done,sadtalker,1001,IWL,neutral,sad,yes
FAKE_T3_1001_IWW_ANG_XX__AUDIO_1001_IWW_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWW_ANG_XX__AUDIO_1001_IWW_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,IWW,angry,disgust,yes
FAKE_T3_1001_IWW_DIS_XX__AUDIO_1001_IWW_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWW_DIS_XX__AUDIO_1001_IWW_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,IWW,disgust,fear,yes
FAKE_T3_1001_IWW_FEA_XX__AUDIO_1001_IWW_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWW_FEA_XX__AUDIO_1001_IWW_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,IWW,fear,happy,yes
FAKE_T3_1001_IWW_HAP_XX__AUDIO_1001_IWW_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWW_HAP_XX__AUDIO_1001_IWW_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,IWW,happy,neutral,yes
FAKE_T3_1001_IWW_NEU_XX__AUDIO_1001_IWW_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_IWW_NEU_XX__AUDIO_1001_IWW_SAD_XX_sadtalker.mp4,1,done,sadtalker,1001,IWW,neutral,sad,yes
FAKE_T3_1001_MTI_DIS_XX__AUDIO_1001_MTI_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_MTI_DIS_XX__AUDIO_1001_MTI_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,MTI,disgust,fear,yes
FAKE_T3_1001_MTI_FEA_XX__AUDIO_1001_MTI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_MTI_FEA_XX__AUDIO_1001_MTI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,MTI,fear,happy,yes
FAKE_T3_1001_TAI_ANG_XX__AUDIO_1001_TAI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TAI_ANG_XX__AUDIO_1001_TAI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,TAI,angry,disgust,yes
FAKE_T3_1001_TAI_FEA_XX__AUDIO_1001_TAI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TAI_FEA_XX__AUDIO_1001_TAI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,TAI,fear,happy,yes
FAKE_T3_1001_TIE_ANG_XX__AUDIO_1001_TIE_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TIE_ANG_XX__AUDIO_1001_TIE_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,TIE,angry,disgust,yes
FAKE_T3_1001_TIE_DIS_XX__AUDIO_1001_TIE_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TIE_DIS_XX__AUDIO_1001_TIE_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,TIE,disgust,fear,yes
FAKE_T3_1001_TIE_FEA_XX__AUDIO_1001_TIE_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TIE_FEA_XX__AUDIO_1001_TIE_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,TIE,fear,happy,yes
FAKE_T3_1001_TIE_HAP_XX__AUDIO_1001_TIE_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TIE_HAP_XX__AUDIO_1001_TIE_NEU_XX_sadtalker.mp4,1,done,sadtalker,1001,TIE,happy,neutral,yes
FAKE_T3_1001_TSI_ANG_XX__AUDIO_1001_TSI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TSI_ANG_XX__AUDIO_1001_TSI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,TSI,angry,disgust,yes
FAKE_T3_1001_TSI_DIS_XX__AUDIO_1001_TSI_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TSI_DIS_XX__AUDIO_1001_TSI_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,TSI,disgust,fear,yes
FAKE_T3_1001_TSI_FEA_XX__AUDIO_1001_TSI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_TSI_FEA_XX__AUDIO_1001_TSI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,TSI,fear,happy,yes
FAKE_T3_1001_WSI_ANG_XX__AUDIO_1001_WSI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_WSI_ANG_XX__AUDIO_1001_WSI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1001,WSI,angry,disgust,yes
FAKE_T3_1001_WSI_DIS_XX__AUDIO_1001_WSI_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_WSI_DIS_XX__AUDIO_1001_WSI_FEA_XX_sadtalker.mp4,1,done,sadtalker,1001,WSI,disgust,fear,yes
FAKE_T3_1001_WSI_FEA_XX__AUDIO_1001_WSI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1001_WSI_FEA_XX__AUDIO_1001_WSI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1001,WSI,fear,happy,yes
FAKE_T3_1002_DFA_ANG_XX__AUDIO_1002_DFA_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_DFA_ANG_XX__AUDIO_1002_DFA_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,DFA,angry,disgust,yes
FAKE_T3_1002_DFA_DIS_XX__AUDIO_1002_DFA_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_DFA_DIS_XX__AUDIO_1002_DFA_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,DFA,disgust,fear,yes
FAKE_T3_1002_DFA_SAD_XX__AUDIO_1002_DFA_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_DFA_SAD_XX__AUDIO_1002_DFA_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,DFA,sad,angry,yes
FAKE_T3_1002_IEO_DIS_LO__AUDIO_1002_IEO_FEA_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_DIS_LO__AUDIO_1002_IEO_FEA_LO_sadtalker.mp4,1,done,sadtalker,1002,IEO,disgust,fear,yes
FAKE_T3_1002_IEO_DIS_MD__AUDIO_1002_IEO_FEA_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_DIS_MD__AUDIO_1002_IEO_FEA_MD_sadtalker.mp4,1,done,sadtalker,1002,IEO,disgust,fear,yes
FAKE_T3_1002_IEO_FEA_HI__AUDIO_1002_IEO_HAP_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_FEA_HI__AUDIO_1002_IEO_HAP_HI_sadtalker.mp4,1,done,sadtalker,1002,IEO,fear,happy,yes
FAKE_T3_1002_IEO_FEA_LO__AUDIO_1002_IEO_HAP_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_FEA_LO__AUDIO_1002_IEO_HAP_LO_sadtalker.mp4,1,done,sadtalker,1002,IEO,fear,happy,yes
FAKE_T3_1002_IEO_FEA_MD__AUDIO_1002_IEO_HAP_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_FEA_MD__AUDIO_1002_IEO_HAP_MD_sadtalker.mp4,1,done,sadtalker,1002,IEO,fear,happy,yes
FAKE_T3_1002_IEO_HAP_MD__AUDIO_1002_IEO_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_HAP_MD__AUDIO_1002_IEO_NEU_XX_sadtalker.mp4,1,done,sadtalker,1002,IEO,happy,neutral,yes
FAKE_T3_1002_IEO_NEU_XX__AUDIO_1002_IEO_SAD_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_NEU_XX__AUDIO_1002_IEO_SAD_HI_sadtalker.mp4,1,done,sadtalker,1002,IEO,neutral,sad,yes
FAKE_T3_1002_IEO_SAD_HI__AUDIO_1002_IEO_ANG_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_SAD_HI__AUDIO_1002_IEO_ANG_HI_sadtalker.mp4,1,done,sadtalker,1002,IEO,sad,angry,yes
FAKE_T3_1002_IEO_SAD_MD__AUDIO_1002_IEO_ANG_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IEO_SAD_MD__AUDIO_1002_IEO_ANG_MD_sadtalker.mp4,1,done,sadtalker,1002,IEO,sad,angry,yes
FAKE_T3_1002_IOM_ANG_XX__AUDIO_1002_IOM_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IOM_ANG_XX__AUDIO_1002_IOM_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,IOM,angry,disgust,yes
FAKE_T3_1002_IOM_DIS_XX__AUDIO_1002_IOM_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IOM_DIS_XX__AUDIO_1002_IOM_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,IOM,disgust,fear,yes
FAKE_T3_1002_IOM_NEU_XX__AUDIO_1002_IOM_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IOM_NEU_XX__AUDIO_1002_IOM_SAD_XX_sadtalker.mp4,1,done,sadtalker,1002,IOM,neutral,sad,yes
FAKE_T3_1002_IOM_SAD_XX__AUDIO_1002_IOM_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IOM_SAD_XX__AUDIO_1002_IOM_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,IOM,sad,angry,yes
FAKE_T3_1002_ITH_ANG_XX__AUDIO_1002_ITH_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_ITH_ANG_XX__AUDIO_1002_ITH_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,ITH,angry,disgust,yes
FAKE_T3_1002_ITS_DIS_XX__AUDIO_1002_ITS_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_ITS_DIS_XX__AUDIO_1002_ITS_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,ITS,disgust,fear,yes
FAKE_T3_1002_ITS_SAD_XX__AUDIO_1002_ITS_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_ITS_SAD_XX__AUDIO_1002_ITS_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,ITS,sad,angry,yes
FAKE_T3_1002_IWL_DIS_XX__AUDIO_1002_IWL_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWL_DIS_XX__AUDIO_1002_IWL_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,IWL,disgust,fear,yes
FAKE_T3_1002_IWL_FEA_XX__AUDIO_1002_IWL_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWL_FEA_XX__AUDIO_1002_IWL_HAP_XX_sadtalker.mp4,1,done,sadtalker,1002,IWL,fear,happy,yes
FAKE_T3_1002_IWL_NEU_XX__AUDIO_1002_IWL_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWL_NEU_XX__AUDIO_1002_IWL_SAD_XX_sadtalker.mp4,1,done,sadtalker,1002,IWL,neutral,sad,yes
FAKE_T3_1002_IWL_SAD_XX__AUDIO_1002_IWL_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWL_SAD_XX__AUDIO_1002_IWL_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,IWL,sad,angry,yes
FAKE_T3_1002_IWW_FEA_XX__AUDIO_1002_IWW_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWW_FEA_XX__AUDIO_1002_IWW_HAP_XX_sadtalker.mp4,1,done,sadtalker,1002,IWW,fear,happy,yes
FAKE_T3_1002_IWW_HAP_XX__AUDIO_1002_IWW_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_IWW_HAP_XX__AUDIO_1002_IWW_NEU_XX_sadtalker.mp4,1,done,sadtalker,1002,IWW,happy,neutral,yes
FAKE_T3_1002_MTI_ANG_XX__AUDIO_1002_MTI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_MTI_ANG_XX__AUDIO_1002_MTI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,MTI,angry,disgust,yes
FAKE_T3_1002_MTI_HAP_XX__AUDIO_1002_MTI_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_MTI_HAP_XX__AUDIO_1002_MTI_NEU_XX_sadtalker.mp4,1,done,sadtalker,1002,MTI,happy,neutral,yes
FAKE_T3_1002_TAI_ANG_XX__AUDIO_1002_TAI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TAI_ANG_XX__AUDIO_1002_TAI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,TAI,angry,disgust,yes
FAKE_T3_1002_TAI_DIS_XX__AUDIO_1002_TAI_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TAI_DIS_XX__AUDIO_1002_TAI_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,TAI,disgust,fear,yes
FAKE_T3_1002_TAI_NEU_XX__AUDIO_1002_TAI_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TAI_NEU_XX__AUDIO_1002_TAI_SAD_XX_sadtalker.mp4,1,done,sadtalker,1002,TAI,neutral,sad,yes
FAKE_T3_1002_TAI_SAD_XX__AUDIO_1002_TAI_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TAI_SAD_XX__AUDIO_1002_TAI_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,TAI,sad,angry,yes
FAKE_T3_1002_TIE_HAP_XX__AUDIO_1002_TIE_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TIE_HAP_XX__AUDIO_1002_TIE_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,TIE,happy,angry,yes
FAKE_T3_1002_TSI_ANG_XX__AUDIO_1002_TSI_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TSI_ANG_XX__AUDIO_1002_TSI_DIS_XX_sadtalker.mp4,1,done,sadtalker,1002,TSI,angry,disgust,yes
FAKE_T3_1002_TSI_FEA_XX__AUDIO_1002_TSI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TSI_FEA_XX__AUDIO_1002_TSI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1002,TSI,fear,happy,yes
FAKE_T3_1002_TSI_HAP_XX__AUDIO_1002_TSI_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TSI_HAP_XX__AUDIO_1002_TSI_NEU_XX_sadtalker.mp4,1,done,sadtalker,1002,TSI,happy,neutral,yes
FAKE_T3_1002_TSI_NEU_XX__AUDIO_1002_TSI_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_TSI_NEU_XX__AUDIO_1002_TSI_SAD_XX_sadtalker.mp4,1,done,sadtalker,1002,TSI,neutral,sad,yes
FAKE_T3_1002_WSI_DIS_XX__AUDIO_1002_WSI_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_WSI_DIS_XX__AUDIO_1002_WSI_FEA_XX_sadtalker.mp4,1,done,sadtalker,1002,WSI,disgust,fear,yes
FAKE_T3_1002_WSI_FEA_XX__AUDIO_1002_WSI_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_WSI_FEA_XX__AUDIO_1002_WSI_HAP_XX_sadtalker.mp4,1,done,sadtalker,1002,WSI,fear,happy,yes
FAKE_T3_1002_WSI_HAP_XX__AUDIO_1002_WSI_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_WSI_HAP_XX__AUDIO_1002_WSI_NEU_XX_sadtalker.mp4,1,done,sadtalker,1002,WSI,happy,neutral,yes
FAKE_T3_1002_WSI_NEU_XX__AUDIO_1002_WSI_SAD_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_WSI_NEU_XX__AUDIO_1002_WSI_SAD_XX_sadtalker.mp4,1,done,sadtalker,1002,WSI,neutral,sad,yes
FAKE_T3_1002_WSI_SAD_XX__AUDIO_1002_WSI_ANG_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1002_WSI_SAD_XX__AUDIO_1002_WSI_ANG_XX_sadtalker.mp4,1,done,sadtalker,1002,WSI,sad,angry,yes
FAKE_T3_1003_DFA_DIS_XX__AUDIO_1003_DFA_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_DFA_DIS_XX__AUDIO_1003_DFA_FEA_XX_sadtalker.mp4,1,done,sadtalker,1003,DFA,disgust,fear,yes
FAKE_T3_1003_IEO_ANG_LO__AUDIO_1003_IEO_DIS_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_ANG_LO__AUDIO_1003_IEO_DIS_LO_sadtalker.mp4,1,done,sadtalker,1003,IEO,angry,disgust,yes
FAKE_T3_1003_IEO_ANG_MD__AUDIO_1003_IEO_DIS_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_ANG_MD__AUDIO_1003_IEO_DIS_MD_sadtalker.mp4,1,done,sadtalker,1003,IEO,angry,disgust,yes
FAKE_T3_1003_IEO_DIS_MD__AUDIO_1003_IEO_FEA_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_DIS_MD__AUDIO_1003_IEO_FEA_MD_sadtalker.mp4,1,done,sadtalker,1003,IEO,disgust,fear,yes
FAKE_T3_1003_IEO_FEA_HI__AUDIO_1003_IEO_HAP_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_FEA_HI__AUDIO_1003_IEO_HAP_HI_sadtalker.mp4,1,done,sadtalker,1003,IEO,fear,happy,yes
FAKE_T3_1003_IEO_FEA_LO__AUDIO_1003_IEO_HAP_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_FEA_LO__AUDIO_1003_IEO_HAP_LO_sadtalker.mp4,1,done,sadtalker,1003,IEO,fear,happy,yes
FAKE_T3_1003_IEO_FEA_MD__AUDIO_1003_IEO_HAP_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_FEA_MD__AUDIO_1003_IEO_HAP_MD_sadtalker.mp4,1,done,sadtalker,1003,IEO,fear,happy,yes
FAKE_T3_1003_IEO_HAP_MD__AUDIO_1003_IEO_NEU_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_HAP_MD__AUDIO_1003_IEO_NEU_XX_sadtalker.mp4,1,done,sadtalker,1003,IEO,happy,neutral,yes
FAKE_T3_1003_IEO_NEU_XX__AUDIO_1003_IEO_SAD_HI_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_NEU_XX__AUDIO_1003_IEO_SAD_HI_sadtalker.mp4,1,done,sadtalker,1003,IEO,neutral,sad,yes
FAKE_T3_1003_IEO_SAD_LO__AUDIO_1003_IEO_ANG_LO_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_SAD_LO__AUDIO_1003_IEO_ANG_LO_sadtalker.mp4,1,done,sadtalker,1003,IEO,sad,angry,yes
FAKE_T3_1003_IEO_SAD_MD__AUDIO_1003_IEO_ANG_MD_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IEO_SAD_MD__AUDIO_1003_IEO_ANG_MD_sadtalker.mp4,1,done,sadtalker,1003,IEO,sad,angry,yes
FAKE_T3_1003_IOM_ANG_XX__AUDIO_1003_IOM_DIS_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IOM_ANG_XX__AUDIO_1003_IOM_DIS_XX_sadtalker.mp4,1,done,sadtalker,1003,IOM,angry,disgust,yes
FAKE_T3_1003_IOM_DIS_XX__AUDIO_1003_IOM_FEA_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IOM_DIS_XX__AUDIO_1003_IOM_FEA_XX_sadtalker.mp4,1,done,sadtalker,1003,IOM,disgust,fear,yes
FAKE_T3_1003_IOM_FEA_XX__AUDIO_1003_IOM_HAP_XX_sadtalker,data\synthetic\track3_fakes\videos\FAKE_T3_1003_IOM_FEA_XX__AUDIO_1003_IOM_HAP_XX_sadtalker.mp4,1,done,sadtalker,1003,IOM,fear,happy,yes
